! CMT, M5090, 24507075, 25.3.3/3
! Date: 30-10-2025 15:02:27
! Stimulus(Hz);    S11(Real);         S11(Imag)
5,99258850000E+09;+7,82669372980E-01;+6,11798432433E-01
6,03508700000E+09;+7,83625032428E-01;+6,15577416293E-01
6,07758550000E+09;+7,84548688912E-01;+6,15968111955E-01
6,12008400000E+09;+7,82647606324E-01;+6,18732698233E-01
6,16258250000E+09;+7,81932917764E-01;+6,21324962732E-01
6,20508100000E+09;+7,81983430089E-01;+6,22036121220E-01
6,24757950000E+09;+7,81297258798E-01;+6,23478103191E-01
6,29007800000E+09;+7,78730081075E-01;+6,26519745145E-01
6,33257650000E+09;+7,77888885250E-01;+6,28928113745E-01
6,37507500000E+09;+7,77854991510E-01;+6,29753308921E-01
6,41757350000E+09;+7,75852694373E-01;+6,32373859007E-01
6,46007200000E+09;+7,73975615524E-01;+6,35451799952E-01
6,50257050000E+09;+7,73236701335E-01;+6,36189592445E-01
6,54506900000E+09;+7,72194993464E-01;+6,38388054734E-01
6,58756750000E+09;+7,70355442925E-01;+6,41186981906E-01
6,63006600000E+09;+7,68486548921E-01;+6,42908638208E-01
6,67256450000E+09;+7,67085535756E-01;+6,43149891045E-01
6,71506300000E+09;+7,64762151719E-01;+6,47538438868E-01
6,75756150000E+09;+7,62842341442E-01;+6,50238680981E-01
6,80006000000E+09;+7,62141037298E-01;+6,49873709592E-01
6,84255850000E+09;+7,60374759246E-01;+6,52647515934E-01
6,88505700000E+09;+7,58572678768E-01;+6,56266426550E-01
6,92755550000E+09;+7,57863079743E-01;+6,56538760758E-01
6,97005400000E+09;+7,55654562114E-01;+6,59027889199E-01
7,01255250000E+09;+7,52923735426E-01;+6,62390677385E-01
7,05505100000E+09;+7,52002756526E-01;+6,63329883562E-01
7,09754950000E+09;+7,51689818726E-01;+6,63500599905E-01
7,14004800000E+09;+7,49046504014E-01;+6,66975379809E-01
7,18254650000E+09;+7,46602687194E-01;+6,69587830459E-01
7,22504500000E+09;+7,46185916805E-01;+6,70260502716E-01
7,26754350000E+09;+7,44389235511E-01;+6,73697877008E-01
7,31004200000E+09;+7,42136441644E-01;+6,77085719910E-01
7,35254050000E+09;+7,40269039432E-01;+6,77524413729E-01
7,39503900000E+09;+7,38192188024E-01;+6,80037086304E-01
7,43753750000E+09;+7,36656580629E-01;+6,83038576247E-01
7,48003600000E+09;+7,34459288074E-01;+6,85026235695E-01
7,52253450000E+09;+7,32529515931E-01;+6,85384803817E-01
7,56503300000E+09;+7,30496053912E-01;+6,87586362403E-01
7,60753150000E+09;+7,28576236243E-01;+6,91110233225E-01
7,65003000000E+09;+7,28012332315E-01;+6,92423252277E-01
7,69252850000E+09;+7,24794682167E-01;+6,93982169853E-01
7,73502700000E+09;+7,22728846547E-01;+6,97577400588E-01
7,77752550000E+09;+7,21823993990E-01;+6,98877309629E-01
7,82002400000E+09;+7,20393629766E-01;+7,00180216427E-01
7,86252250000E+09;+7,18079532077E-01;+7,02335233129E-01
7,90502100000E+09;+7,16109280442E-01;+7,04749652910E-01
7,94751950000E+09;+7,14825259245E-01;+7,05904467396E-01
7,99001800000E+09;+7,12496996394E-01;+7,07589382519E-01
8,03251650000E+09;+7,10990528944E-01;+7,09535352253E-01
8,07501500000E+09;+7,10748807409E-01;+7,10720216294E-01
8,11751350000E+09;+7,08902907954E-01;+7,12789294020E-01
8,16001200000E+09;+7,07396117186E-01;+7,14956787368E-01
8,20251050000E+09;+7,07135120388E-01;+7,16286803641E-01
8,24500900000E+09;+7,05318691239E-01;+7,17688107376E-01
8,28750750000E+09;+7,04445451951E-01;+7,19135563774E-01
8,33000600000E+09;+7,03796705459E-01;+7,20604775922E-01
8,37250450000E+09;+7,03217550342E-01;+7,21605826177E-01
8,41500300000E+09;+7,00787213775E-01;+7,22515318930E-01
8,45750150000E+09;+6,99578311745E-01;+7,23819347394E-01
8,50000000000E+09;+6,99875399733E-01;+7,25884240846E-01
